precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
0,2,463,411,0,0,12,40,41001-19,52,215,277,2,Cliff Bentz,Republican,White,0.62
1,2,124,113,0,0,3,8,41001-26,15,77,97,2,Cliff Bentz,Republican,White,0.62
2,2,762,664,0,0,25,73,41001-17,96,482,597,2,Cliff Bentz,Republican,White,0.62
3,2,126,112,1,0,4,9,41001-20,19,39,60,2,Cliff Bentz,Republican,White,0.62
4,2,889,818,1,2,37,31,41001-13,127,596,732,2,Cliff Bentz,Republican,White,0.62
5,2,1958,1729,29,22,89,89,41001-1,260,642,934,2,Cliff Bentz,Republican,White,0.62
6,2,1616,1477,4,8,59,68,41001-5,305,930,1275,2,Cliff Bentz,Republican,White,0.62
7,2,1303,1149,6,9,72,67,41001-2,307,608,947,2,Cliff Bentz,Republican,White,0.62
8,2,1484,1309,4,8,40,123,41001-3,301,698,1035,2,Cliff Bentz,Republican,White,0.62
9,2,1697,1501,5,6,75,110,41001-4,299,831,1177,2,Cliff Bentz,Republican,White,0.62
10,2,845,773,0,0,30,42,41001-24,214,592,825,2,Cliff Bentz,Republican,White,0.62
11,2,381,357,0,0,4,20,41001-25,64,252,322,2,Cliff Bentz,Republican,White,0.62
12,2,109,99,0,0,4,6,41001-18,3,72,78,2,Cliff Bentz,Republican,White,0.62
13,2,191,175,1,0,5,10,41001-21,25,137,169,2,Cliff Bentz,Republican,White,0.62
14,2,816,748,1,0,17,50,41001-22,188,458,658,2,Cliff Bentz,Republican,White,0.62
15,2,524,491,3,0,12,18,41001-15,65,361,438,2,Cliff Bentz,Republican,White,0.62
16,2,92,85,1,1,4,1,41001-14,3,70,73,2,Cliff Bentz,Republican,White,0.62
17,4,786,690,0,3,35,58,41003-14,224,365,617,4,Val Hoyle,Democrat,White,0.52
18,4,74,67,0,0,1,6,41003-17,31,13,49,4,Val Hoyle,Democrat,White,0.52
19,4,5337,4049,39,678,283,288,41003-8,3752,726,4636,4,Val Hoyle,Democrat,White,0.52
20,4,6586,4611,109,855,624,387,41003-4,833,128,1013,4,Val Hoyle,Democrat,White,0.52
21,4,5309,3938,63,388,569,351,41003-9,2321,764,3234,4,Val Hoyle,Democrat,White,0.52
22,4,1205,1005,4,8,92,96,41003-20,305,526,860,4,Val Hoyle,Democrat,White,0.52
23,4,1441,1277,0,15,64,85,41003-19,660,502,1196,4,Val Hoyle,Democrat,White,0.52
24,4,6105,5235,27,129,292,422,41003-16,3593,1569,5383,4,Val Hoyle,Democrat,White,0.52
25,4,5173,3815,48,268,622,420,41003-3,2535,612,3298,4,Val Hoyle,Democrat,White,0.52
26,4,4146,3397,35,81,337,296,41003-10,1891,1114,3155,4,Val Hoyle,Democrat,White,0.52
27,4,5937,4279,66,640,501,451,41003-5,1638,243,1983,4,Val Hoyle,Democrat,White,0.52
28,4,497,376,1,5,70,45,41003-13,149,208,373,4,Val Hoyle,Democrat,White,0.52
29,4,5787,4379,60,613,340,395,41003-7,3003,422,3587,4,Val Hoyle,Democrat,White,0.52
30,4,1619,1423,20,40,56,80,41003-18,649,786,1491,4,Val Hoyle,Democrat,White,0.52
31,4,3271,2910,7,32,118,204,41003-15,1443,1284,2845,4,Val Hoyle,Democrat,White,0.52
32,4,5833,4654,52,464,317,346,41003-1,3307,835,4309,4,Val Hoyle,Democrat,White,0.52
33,4,935,829,2,5,43,56,41003-21,270,464,759,4,Val Hoyle,Democrat,White,0.52
34,4,727,573,13,27,58,56,41003-12,463,272,770,4,Val Hoyle,Democrat,White,0.52
35,4,7055,6017,49,195,401,393,41003-11,3164,2606,5986,4,Val Hoyle,Democrat,White,0.52
36,4,5505,3982,76,393,717,337,41003-6,2406,483,3055,4,Val Hoyle,Democrat,White,0.52
37,4,6364,4269,110,865,588,532,41003-2,1272,265,1633,4,Val Hoyle,Democrat,White,0.52
38,5,406,252,10,37,68,39,41005-100,51,30,86,5,Janelle Bynum,Democrat,Black,0.51
39,3,7215,4676,130,1610,433,366,41005-101,3242,2466,5942,3,Maxine Dexter,Democrat,White,0.71
40,3,1461,942,47,255,128,89,41005-102,598,681,1318,3,Maxine Dexter,Democrat,White,0.71
41,5,3699,2507,52,762,178,200,41005-103,1535,1168,2803,5,Janelle Bynum,Democrat,Black,0.51
42,5,41,31,0,0,2,8,41005-104,10,13,23,5,Janelle Bynum,Democrat,Black,0.51
43,3,4452,3192,66,795,181,218,41005-105,2231,1759,4134,3,Maxine Dexter,Democrat,White,0.71
44,3,3279,2750,24,57,230,218,41005-106,975,1941,3031,3,Maxine Dexter,Democrat,White,0.71
45,3,2379,1895,20,32,256,176,41005-107,740,1079,1891,3,Maxine Dexter,Democrat,White,0.71
46,3,6828,5764,27,114,491,432,41005-108,1815,2562,4552,3,Maxine Dexter,Democrat,White,0.71
47,5,7412,5869,27,73,977,466,41005-111,1403,3245,4839,5,Janelle Bynum,Democrat,Black,0.51
48,3,84,64,0,5,4,11,41005-113,38,15,59,3,Maxine Dexter,Democrat,White,0.71
49,5,290,191,4,42,29,24,41005-114,102,64,170,5,Janelle Bynum,Democrat,Black,0.51
50,5,293,252,2,5,16,18,41005-115/116,194,54,259,5,Janelle Bynum,Democrat,Black,0.51
51,5,5441,3801,25,53,1294,268,41005-122,1498,1799,3425,5,Janelle Bynum,Democrat,Black,0.51
52,5,2690,1966,3,41,475,205,41005-123,856,1178,2119,5,Janelle Bynum,Democrat,Black,0.51
53,5,4012,3287,17,76,421,211,41005-124,1552,1863,3558,5,Janelle Bynum,Democrat,Black,0.51
54,5,1764,1361,8,34,276,85,41005-125,593,639,1286,5,Janelle Bynum,Democrat,Black,0.51
55,5,94,73,0,0,18,3,41005-127,23,51,76,5,Janelle Bynum,Democrat,Black,0.51
56,5,7601,6269,78,463,368,423,41005-131,3750,2008,5959,5,Janelle Bynum,Democrat,Black,0.51
57,5,5155,4286,47,283,237,302,41005-132,2812,1380,4357,5,Janelle Bynum,Democrat,Black,0.51
58,5,2281,1915,17,83,130,136,41005-133,1278,494,1854,5,Janelle Bynum,Democrat,Black,0.51
59,5,0,0,0,0,0,0,41005-134,8,0,9,5,Janelle Bynum,Democrat,Black,0.51
60,5,5644,4789,33,252,218,352,41005-135,3431,1398,5033,5,Janelle Bynum,Democrat,Black,0.51
61,5,3045,2626,17,155,132,115,41005-151,1755,587,2434,5,Janelle Bynum,Democrat,Black,0.51
