precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
0,3,1890,1361,439,7,31,52,45001-Abbeville No. 1,354,923,1292,3,Jeff Duncan,Republican,White,0.68
1,3,1617,561,997,4,15,40,45001-Abbeville No. 2,554,341,907,3,Jeff Duncan,Republican,White,0.68
2,3,1738,981,676,2,11,68,45001-Abbeville No. 3,375,515,899,3,Jeff Duncan,Republican,White,0.68
3,3,925,606,284,3,15,17,45001-Abbeville No. 4,191,416,615,3,Jeff Duncan,Republican,White,0.68
4,3,1391,1179,140,2,13,57,45001-Antreville,162,831,1004,3,Jeff Duncan,Republican,White,0.68
5,3,602,499,71,0,9,23,45001-Broadmouth,65,331,399,3,Jeff Duncan,Republican,White,0.68
6,3,1909,912,897,1,30,69,45001-Calhoun Falls,541,557,1105,3,Jeff Duncan,Republican,White,0.68
7,3,1127,955,125,4,10,33,45001-Cold Springs,134,604,745,3,Jeff Duncan,Republican,White,0.68
8,3,663,582,47,0,17,17,45001-Donalds,52,347,400,3,Jeff Duncan,Republican,White,0.68
9,3,2228,1626,467,12,62,61,45001-Due West,281,811,1115,3,Jeff Duncan,Republican,White,0.68
10,3,842,610,191,4,13,24,45001-Hall's Store,120,320,445,3,Jeff Duncan,Republican,White,0.68
11,3,1474,1234,166,2,20,52,45001-Keowee,127,768,904,3,Jeff Duncan,Republican,White,0.68
12,3,810,626,160,1,5,18,45001-Lebanon,138,448,597,3,Jeff Duncan,Republican,White,0.68
13,3,1292,1140,86,8,12,46,45001-Lowndesville,126,758,894,3,Jeff Duncan,Republican,White,0.68
14,3,861,631,185,5,21,19,45001-Smithville,179,532,720,3,Jeff Duncan,Republican,White,0.68
15,2,1124,933,82,13,50,46,45003-N. Augusta No. 55,259,502,772,2,Joe Wilson,Republican,White,0.6
16,2,2614,1681,709,56,91,77,45003-Six Points No. 35,437,603,1055,2,Joe Wilson,Republican,White,0.6
17,2,2403,1611,490,48,169,85,45003-Vaucluse,743,1088,1864,2,Joe Wilson,Republican,White,0.6
18,2,1349,498,722,2,65,62,45003-Aiken No. 2,477,166,654,2,Joe Wilson,Republican,White,0.6
19,2,1516,214,1170,4,39,89,45003-Six Points No. 46,582,121,713,2,Joe Wilson,Republican,White,0.6
20,2,1359,784,494,5,45,31,45003-Aiken No. 5,442,309,767,2,Joe Wilson,Republican,White,0.6
21,2,1387,1227,82,38,19,21,45003-Hollow Creek,364,666,1047,2,Joe Wilson,Republican,White,0.6
22,2,1270,867,235,37,60,71,45003-Sandstone No. 70,300,461,780,2,Joe Wilson,Republican,White,0.6
23,2,845,208,576,0,30,31,45003-Aiken No. 4,288,81,375,2,Joe Wilson,Republican,White,0.6
24,2,1511,974,377,1,88,71,45003-Couchton,327,598,935,2,Joe Wilson,Republican,White,0.6
25,2,1179,1035,76,3,36,29,45003-Gem Lakes No. 60,297,692,1002,2,Joe Wilson,Republican,White,0.6
26,2,1795,1396,231,42,60,66,45003-South Aiken No. 75,554,1020,1588,2,Joe Wilson,Republican,White,0.6
27,2,1253,956,204,25,30,38,45003-Hitchcock No. 66,291,462,765,2,Joe Wilson,Republican,White,0.6
28,2,1108,720,260,39,49,40,45003-Levels No. 72,330,419,763,2,Joe Wilson,Republican,White,0.6
29,2,1738,1096,458,6,97,81,45003-Ward,376,695,1083,2,Joe Wilson,Republican,White,0.6
30,2,799,629,104,4,33,29,45003-Shaws Fork,177,418,605,2,Joe Wilson,Republican,White,0.6
31,2,1876,886,775,3,106,106,45003-Beech Island,514,482,1008,2,Joe Wilson,Republican,White,0.6
32,2,1721,1347,239,11,40,84,45003-Jackson,222,873,1109,2,Joe Wilson,Republican,White,0.6
33,2,2011,1576,217,16,121,81,45003-Pine Forest,324,1054,1389,2,Joe Wilson,Republican,White,0.6
34,2,1548,529,686,13,257,63,45003-Carolina Heights,440,302,750,2,Joe Wilson,Republican,White,0.6
35,2,906,537,289,3,51,26,45003-White Pond,226,342,568,2,Joe Wilson,Republican,White,0.6
36,2,1126,756,146,4,180,40,45003-Montmorenci No. 78,276,486,772,2,Joe Wilson,Republican,White,0.6
37,2,2125,1490,457,5,93,80,45003-Talatha,518,1020,1553,2,Joe Wilson,Republican,White,0.6
38,2,1817,1567,128,17,54,51,45003-Sleepy Hollow No. 65,362,1068,1446,2,Joe Wilson,Republican,White,0.6
39,2,1021,818,134,2,27,40,45003-New Holland,145,483,634,2,Joe Wilson,Republican,White,0.6
40,2,1495,733,477,1,234,50,45003-Monetta,250,487,750,2,Joe Wilson,Republican,White,0.6
41,2,768,457,264,3,20,24,45003-Tabernacle,211,305,525,2,Joe Wilson,Republican,White,0.6
42,2,974,732,203,0,10,29,45003-Perry,141,493,647,2,Joe Wilson,Republican,White,0.6
43,2,2387,1649,508,17,109,104,45003-Misty Lakes,513,914,1450,2,Joe Wilson,Republican,White,0.6
44,2,2333,1555,465,20,169,124,45003-Midland Valley No. 71,663,1236,1917,2,Joe Wilson,Republican,White,0.6
45,2,1073,840,108,19,47,59,45003-N. Augusta No. 80,165,496,668,2,Joe Wilson,Republican,White,0.6
46,2,1941,1391,298,57,107,88,45003-N. Augusta No. 29,414,629,1068,2,Joe Wilson,Republican,White,0.6
47,2,858,551,166,8,68,65,45003-Belvedere No. 74,151,280,439,2,Joe Wilson,Republican,White,0.6
48,2,1965,1017,768,10,99,71,45003-Belvedere No. 9,448,510,972,2,Joe Wilson,Republican,White,0.6
49,2,2083,1251,479,72,222,59,45003-N. Augusta No. 25,405,518,942,2,Joe Wilson,Republican,White,0.6
50,2,1595,1211,120,10,213,41,45003-Fox Creek No. 73,321,984,1315,2,Joe Wilson,Republican,White,0.6
51,2,1645,757,574,20,222,72,45003-N. Augusta No. 54,380,327,716,2,Joe Wilson,Republican,White,0.6
52,2,1607,1038,390,7,101,71,45003-Belvedere No. 44,360,568,948,2,Joe Wilson,Republican,White,0.6
53,2,1163,663,401,17,50,32,45003-N. Augusta No. 26,299,338,647,2,Joe Wilson,Republican,White,0.6
54,2,1019,470,355,1,150,43,45003-Clearwater,167,219,396,2,Joe Wilson,Republican,White,0.6
55,2,1792,1263,232,1,227,69,45003-Willow Springs,200,659,871,2,Joe Wilson,Republican,White,0.6
56,2,1296,981,171,5,66,73,45003-Gloverville,191,535,738,2,Joe Wilson,Republican,White,0.6
57,2,1757,1339,266,4,76,72,45003-Langley,189,613,807,2,Joe Wilson,Republican,White,0.6
58,2,1128,803,161,6,87,71,45003-Lynwood,124,412,540,2,Joe Wilson,Republican,White,0.6
59,2,1618,1303,203,39,29,44,45003-Fox Creek No. 58,301,762,1078,2,Joe Wilson,Republican,White,0.6
60,2,1302,1064,106,31,51,50,45003-N. Augusta No. 68,241,786,1045,2,Joe Wilson,Republican,White,0.6
61,2,1145,867,179,14,13,72,45003-Ascauga Lake No. 84,293,683,985,2,Joe Wilson,Republican,White,0.6
62,2,1040,738,215,7,49,31,45003-Ascauga Lake,212,549,765,2,Joe Wilson,Republican,White,0.6
63,2,1380,770,438,9,101,62,45003-Graniteville,192,438,639,2,Joe Wilson,Republican,White,0.6
64,2,2014,1441,331,6,134,102,45003-Eureka,312,887,1213,2,Joe Wilson,Republican,White,0.6
65,2,1930,623,1078,3,125,101,45003-China Springs,561,379,958,2,Joe Wilson,Republican,White,0.6
66,2,2290,1718,327,10,132,103,45003-Warrenville,436,977,1431,2,Joe Wilson,Republican,White,0.6
67,2,1314,1209,44,8,21,32,45003-Aiken No. 1,344,588,942,2,Joe Wilson,Republican,White,0.6
68,2,1128,903,137,8,34,46,45003-Aiken No. 47,326,434,767,2,Joe Wilson,Republican,White,0.6
69,2,2198,447,1571,16,80,84,45003-Aiken No. 3,652,152,819,2,Joe Wilson,Republican,White,0.6
70,2,1991,1424,382,34,73,78,45003-Millbrook,508,800,1329,2,Joe Wilson,Republican,White,0.6
71,2,1182,801,239,21,63,58,45003-Levels No. 83,274,311,596,2,Joe Wilson,Republican,White,0.6
72,2,1531,1306,70,45,48,62,45003-Gem Lakes No. 77,365,835,1221,2,Joe Wilson,Republican,White,0.6
73,2,1859,1220,512,4,57,66,45003-Redds Branch,275,578,860,2,Joe Wilson,Republican,White,0.6
74,2,1904,1438,240,32,110,84,45003-College Acres,434,845,1303,2,Joe Wilson,Republican,White,0.6
75,2,1215,1114,41,5,30,25,45003-Aiken No. 6,387,537,943,2,Joe Wilson,Republican,White,0.6
76,2,1973,1391,396,46,77,63,45003-Montmorenci No. 22,538,863,1417,2,Joe Wilson,Republican,White,0.6
77,2,1924,1704,66,46,56,52,45003-Anderson Pond No. 69,701,1324,2044,2,Joe Wilson,Republican,White,0.6
78,2,1211,837,208,30,70,66,45003-Levels No. 52,332,361,703,2,Joe Wilson,Republican,White,0.6
79,2,1339,952,217,72,67,31,45003-Sandstone No. 79,330,474,815,2,Joe Wilson,Republican,White,0.6
80,2,2134,1615,321,5,139,54,45003-Shiloh,412,1030,1453,2,Joe Wilson,Republican,White,0.6
81,2,1422,924,353,6,68,71,45003-Hammond No. 81,292,591,893,2,Joe Wilson,Republican,White,0.6
82,2,2069,1029,878,7,65,90,45003-Silver Bluff,637,690,1349,2,Joe Wilson,Republican,White,0.6
83,2,1247,835,307,8,54,43,45003-Hammond,382,665,1056,2,Joe Wilson,Republican,White,0.6
