precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
0,Oregon,277,0.09334,0.90666,republican,0.9067,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
1,Oregon,97,0.078798,0.921202,republican,0.9212,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
2,Oregon,597,0.046727,0.953273,republican,0.9533,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
3,Oregon,60,0.239533,0.760467,republican,0.7605,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
4,Oregon,732,0.107511,0.892489,republican,0.8925,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
5,Oregon,934,0.191572,0.808428,republican,0.8084,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
6,Oregon,1275,0.173855,0.826145,republican,0.8261,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
7,Oregon,947,0.242484,0.757516,republican,0.7575,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
8,Oregon,1035,0.20487,0.79513,republican,0.7951,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
9,Oregon,1177,0.165281,0.834719,republican,0.8347,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
10,Oregon,825,0.196584,0.803416,republican,0.8034,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
11,Oregon,322,0.149348,0.850652,republican,0.8507,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.773623,0.226377,democratic,0.7736
12,Oregon,78,0.0,1.0,republican,1.0,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
13,Oregon,169,0.076084,0.923916,republican,0.9239,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
14,Oregon,658,0.226803,0.773197,republican,0.7732,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
15,Oregon,438,0.09562,0.90438,republican,0.9044,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
16,Oregon,73,0.0,1.0,republican,1.0,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
17,Oregon,617,0.283647,0.716353,republican,0.7164,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
18,Oregon,49,0.601197,0.398803,democratic,0.6012,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.773623,0.226377,democratic,0.7736
19,Oregon,4636,0.769742,0.230258,democratic,0.7697,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
20,Oregon,1013,0.774585,0.225415,democratic,0.7746,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
21,Oregon,3234,0.642471,0.357529,democratic,0.6425,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
22,Oregon,860,0.239411,0.760589,republican,0.7606,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
23,Oregon,1196,0.502794,0.497206,democratic,0.5028,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
24,Oregon,5383,0.623222,0.376778,democratic,0.6232,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
25,Oregon,3298,0.709883,0.290117,democratic,0.7099,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
26,Oregon,3155,0.525642,0.474358,democratic,0.5256,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
27,Oregon,1983,0.784286,0.215714,democratic,0.7843,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
28,Oregon,373,0.227531,0.772469,republican,0.7725,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
29,Oregon,3587,0.806148,0.193852,democratic,0.8061,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
30,Oregon,1491,0.366623,0.633377,republican,0.6334,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
31,Oregon,2845,0.454293,0.545707,republican,0.5457,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.039363,0.960637,republican,0.9606
32,Oregon,4309,0.725342,0.274658,democratic,0.7253,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
33,Oregon,759,0.281825,0.718175,republican,0.7182,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
34,Oregon,770,0.511953,0.488047,democratic,0.512,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
35,Oregon,5986,0.458671,0.541329,republican,0.5413,0.939287,0.060713,democratic,0.9393,0.168309,0.831691,republican,0.8317,0.592488,0.407512,democratic,0.5925
36,Oregon,3055,0.731655,0.268345,democratic,0.7317,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
37,Oregon,1633,0.702967,0.297033,democratic,0.703,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
38,Oregon,86,0.384812,0.615188,republican,0.6152,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,0.932558,0.067442,democratic,0.9326
39,Oregon,5942,0.334861,0.665139,republican,0.6651,0.939287,0.060713,democratic,0.9393,0.569282,0.430718,democratic,0.5693,0.872851,0.127149,democratic,0.8729
40,Oregon,1318,0.189251,0.810749,republican,0.8107,0.0,1.0,republican,1.0,0.051295,0.948705,republican,0.9487,0.0,1.0,republican,1.0
41,Oregon,2803,0.364046,0.635954,republican,0.636,0.939287,0.060713,democratic,0.9393,0.581624,0.418376,democratic,0.5816,1.0,0.0,democratic,1.0
