precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
0,South Carolina,1292,0.022855,0.977145,republican,0.9771,0.141484,0.858516,republican,0.8585,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
1,South Carolina,907,0.028567,0.971433,republican,0.9714,0.795325,0.204675,democratic,0.7953,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
2,South Carolina,899,0.028993,0.971007,republican,0.971,0.579015,0.420985,democratic,0.579,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
3,South Carolina,615,0.0,1.0,republican,1.0,0.302634,0.697366,republican,0.6974,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
4,South Carolina,1004,0.024919,0.975081,republican,0.9751,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
5,South Carolina,399,0.006609,0.993391,republican,0.9934,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
6,South Carolina,1105,0.018941,0.981059,republican,0.9811,0.687602,0.312398,democratic,0.6876,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
7,South Carolina,745,0.046543,0.953457,republican,0.9535,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
8,South Carolina,400,0.020035,0.979965,republican,0.98,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
9,South Carolina,1115,0.004664,0.995336,republican,0.9953,0.017972,0.982028,republican,0.982,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
10,South Carolina,445,0.022276,0.977724,republican,0.9777,0.118257,0.881743,republican,0.8817,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
11,South Carolina,904,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
12,South Carolina,597,0.028649,0.971351,republican,0.9714,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
13,South Carolina,894,0.037049,0.962951,republican,0.963,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
14,South Carolina,720,0.003846,0.996154,republican,0.9962,0.009367,0.990633,republican,0.9906,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
15,South Carolina,772,0.21581,0.78419,republican,0.7842,0.607526,0.392474,democratic,0.6075,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
16,South Carolina,1055,0.133429,0.866571,republican,0.8666,0.683265,0.316735,democratic,0.6833,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
17,South Carolina,1864,0.142218,0.857782,republican,0.8578,0.72858,0.27142,democratic,0.7286,0.737317,0.262683,democratic,0.7373,0.663948,0.336052,democratic,0.6639
18,South Carolina,654,0.403378,0.596622,republican,0.5966,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
19,South Carolina,713,0.184437,0.815563,republican,0.8156,0.964779,0.035221,democratic,0.9648,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
20,South Carolina,767,0.324087,0.675913,republican,0.6759,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
21,South Carolina,1047,0.273012,0.726988,republican,0.727,0.882,0.118,democratic,0.882,0.0,1.0,republican,1.0,0.865562,0.134438,democratic,0.8656
22,South Carolina,780,0.135702,0.864298,republican,0.8643,0.695251,0.304749,democratic,0.6953,0.0,1.0,republican,1.0,0.507292,0.492708,democratic,0.5073
23,South Carolina,375,0.302136,0.697864,republican,0.6979,0.979985,0.020015,democratic,0.98,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
24,South Carolina,935,0.035259,0.964741,republican,0.9647,0.45696,0.54304,republican,0.543,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
25,South Carolina,1002,0.20963,0.79037,republican,0.7904,0.039852,0.960148,republican,0.9601,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
26,South Carolina,1588,0.185593,0.814407,republican,0.8144,0.58436,0.41564,democratic,0.5844,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
27,South Carolina,765,0.212716,0.787284,republican,0.7873,0.721356,0.278644,democratic,0.7214,0.737317,0.262683,democratic,0.7373,0.456214,0.543786,republican,0.5438
28,South Carolina,763,0.169733,0.830267,republican,0.8303,0.81873,0.18127,democratic,0.8187,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
29,South Carolina,1083,0.011578,0.988422,republican,0.9884,0.439688,0.560312,republican,0.5603,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
30,South Carolina,605,0.122952,0.877048,republican,0.877,0.148733,0.851267,republican,0.8513,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
31,South Carolina,1008,0.051573,0.948427,republican,0.9484,0.788134,0.211866,democratic,0.7881,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
