precinct_id,total,white,black,asian,hispanic,other
0,1890,1361,439,7,31,52
1,1617,561,997,4,15,40
2,1738,981,676,2,11,68
3,925,606,284,3,15,17
4,1391,1179,140,2,13,57
5,602,499,71,0,9,23
6,1909,912,897,1,30,69
7,1127,955,125,4,10,33
8,663,582,47,0,17,17
9,2228,1626,467,12,62,61
10,842,610,191,4,13,24
11,1474,1234,166,2,20,52
12,810,626,160,1,5,18
13,1292,1140,86,8,12,46
14,861,631,185,5,21,19
15,1124,933,82,13,50,46
16,2614,1681,709,56,91,77
17,2403,1611,490,48,169,85
18,1349,498,722,2,65,62
19,1516,214,1170,4,39,89
20,1359,784,494,5,45,31
21,1387,1227,82,38,19,21
22,1270,867,235,37,60,71
23,845,208,576,0,30,31
24,1511,974,377,1,88,71
25,1179,1035,76,3,36,29
26,1795,1396,231,42,60,66
27,1253,956,204,25,30,38
28,1108,720,260,39,49,40
29,1738,1096,458,6,97,81
30,799,629,104,4,33,29
31,1876,886,775,3,106,106
32,1721,1347,239,11,40,84
33,2011,1576,217,16,121,81
34,1548,529,686,13,257,63
35,906,537,289,3,51,26
36,1126,756,146,4,180,40
37,2125,1490,457,5,93,80
38,1817,1567,128,17,54,51
39,1021,818,134,2,27,40
40,1495,733,477,1,234,50
41,768,457,264,3,20,24
42,974,732,203,0,10,29
43,2387,1649,508,17,109,104
44,2333,1555,465,20,169,124
45,1073,840,108,19,47,59
46,1941,1391,298,57,107,88
47,858,551,166,8,68,65
48,1965,1017,768,10,99,71
49,2083,1251,479,72,222,59
50,1595,1211,120,10,213,41
51,1645,757,574,20,222,72
52,1607,1038,390,7,101,71
53,1163,663,401,17,50,32
54,1019,470,355,1,150,43
55,1792,1263,232,1,227,69
56,1296,981,171,5,66,73
57,1757,1339,266,4,76,72
58,1128,803,161,6,87,71
59,1618,1303,203,39,29,44
60,1302,1064,106,31,51,50
61,1145,867,179,14,13,72
62,1040,738,215,7,49,31
63,1380,770,438,9,101,62
64,2014,1441,331,6,134,102
65,1930,623,1078,3,125,101
66,2290,1718,327,10,132,103
67,1314,1209,44,8,21,32
68,1128,903,137,8,34,46
69,2198,447,1571,16,80,84
70,1991,1424,382,34,73,78
71,1182,801,239,21,63,58
72,1531,1306,70,45,48,62
73,1859,1220,512,4,57,66
74,1904,1438,240,32,110,84
75,1215,1114,41,5,30,25
76,1973,1391,396,46,77,63
77,1924,1704,66,46,56,52
78,1211,837,208,30,70,66
79,1339,952,217,72,67,31
80,2134,1615,321,5,139,54
81,1422,924,353,6,68,71
82,2069,1029,878,7,65,90
83,1247,835,307,8,54,43
84,1558,1050,187,6,243,72
85,1363,960,183,7,162,51
86,1099,620,303,6,130,40
87,1783,1589,88,2,60,44
88,1381,1131,108,2,83,57
89,1728,983,591,12,68,74
90,1539,1367,78,13,38,43
91,675,323,315,6,7,24
92,2244,1456,641,4,56,87
93,1419,662,545,10,134,68
94,1092,963,72,16,16,25
95,1287,1084,95,19,38,51
96,1062,826,126,38,40,32
97,779,562,155,17,16,29
98,1564,778,630,17,78,61
99,1048,942,30,20,29,27
100,1653,1086,408,35,62,62
101,805,557,100,3,113,32
102,1064,664,180,8,166,46
103,1143,777,221,23,52,70
104,1168,225,883,4,33,23
105,1099,48,1023,0,13,15
106,615,225,361,7,8,14
107,2018,548,1371,6,76,17
108,308,89,214,0,1,4
109,399,284,98,0,6,11
110,227,112,100,0,6,9
111,856,278,519,0,19,40
112,2223,1459,450,106,143,65
113,1344,1160,72,26,54,32
114,1505,1260,126,17,51,51
115,4374,3389,594,45,239,107
116,1453,779,521,4,73,76
117,1489,768,607,9,48,57
118,2038,557,1319,10,72,80
119,2440,844,1435,15,65,81
120,1844,520,1089,6,142,87
121,2300,1740,340,21,123,76
122,1892,778,914,5,123,72
123,1435,778,467,2,130,58
124,455,426,6,3,7,13
125,2632,2007,426,10,89,100
126,2190,1737,318,18,54,63
127,2423,1957,302,13,58,93
128,931,825,49,0,29,28
129,678,305,344,1,10,18
130,1031,797,168,9,22,35
131,2563,2228,187,7,60,81
132,1896,1619,138,1,65,73
133,2828,2324,353,4,76,71
134,3263,2663,391,27,73,109
135,3242,2338,611,42,116,135
136,1059,753,247,6,22,31
137,3740,2746,402,335,137,120
138,1572,1113,93,33,302,31
139,1258,1178,33,3,11,33
