precinct_id,GEOID,democratic_votes,republican_votes,total_votes
0,45001-Abbeville No. 1,354,923,1292
1,45001-Abbeville No. 2,554,341,907
2,45001-Abbeville No. 3,375,515,899
3,45001-Abbeville No. 4,191,416,615
4,45001-Antreville,162,831,1004
5,45001-Broadmouth,65,331,399
6,45001-Calhoun Falls,541,557,1105
7,45001-Cold Springs,134,604,745
8,45001-Donalds,52,347,400
9,45001-Due West,281,811,1115
10,45001-Hall's Store,120,320,445
11,45001-Keowee,127,768,904
12,45001-Lebanon,138,448,597
13,45001-Lowndesville,126,758,894
14,45001-Smithville,179,532,720
15,45003-N. Augusta No. 55,259,502,772
16,45003-Six Points No. 35,437,603,1055
17,45003-Vaucluse,743,1088,1864
18,45003-Aiken No. 2,477,166,654
19,45003-Six Points No. 46,582,121,713
20,45003-Aiken No. 5,442,309,767
21,45003-Hollow Creek,364,666,1047
22,45003-Sandstone No. 70,300,461,780
23,45003-Aiken No. 4,288,81,375
24,45003-Couchton,327,598,935
25,45003-Gem Lakes No. 60,297,692,1002
26,45003-South Aiken No. 75,554,1020,1588
27,45003-Hitchcock No. 66,291,462,765
28,45003-Levels No. 72,330,419,763
29,45003-Ward,376,695,1083
30,45003-Shaws Fork,177,418,605
31,45003-Beech Island,514,482,1008
32,45003-Jackson,222,873,1109
33,45003-Pine Forest,324,1054,1389
34,45003-Carolina Heights,440,302,750
35,45003-White Pond,226,342,568
36,45003-Montmorenci No. 78,276,486,772
37,45003-Talatha,518,1020,1553
38,45003-Sleepy Hollow No. 65,362,1068,1446
39,45003-New Holland,145,483,634
40,45003-Monetta,250,487,750
41,45003-Tabernacle,211,305,525
42,45003-Perry,141,493,647
43,45003-Misty Lakes,513,914,1450
44,45003-Midland Valley No. 71,663,1236,1917
45,45003-N. Augusta No. 80,165,496,668
46,45003-N. Augusta No. 29,414,629,1068
47,45003-Belvedere No. 74,151,280,439
48,45003-Belvedere No. 9,448,510,972
49,45003-N. Augusta No. 25,405,518,942
50,45003-Fox Creek No. 73,321,984,1315
51,45003-N. Augusta No. 54,380,327,716
52,45003-Belvedere No. 44,360,568,948
53,45003-N. Augusta No. 26,299,338,647
54,45003-Clearwater,167,219,396
55,45003-Willow Springs,200,659,871
56,45003-Gloverville,191,535,738
57,45003-Langley,189,613,807
58,45003-Lynwood,124,412,540
59,45003-Fox Creek No. 58,301,762,1078
60,45003-N. Augusta No. 68,241,786,1045
61,45003-Ascauga Lake No. 84,293,683,985
62,45003-Ascauga Lake,212,549,765
63,45003-Graniteville,192,438,639
64,45003-Eureka,312,887,1213
65,45003-China Springs,561,379,958
66,45003-Warrenville,436,977,1431
67,45003-Aiken No. 1,344,588,942
68,45003-Aiken No. 47,326,434,767
69,45003-Aiken No. 3,652,152,819
70,45003-Millbrook,508,800,1329
71,45003-Levels No. 83,274,311,596
72,45003-Gem Lakes No. 77,365,835,1221
73,45003-Redds Branch,275,578,860
74,45003-College Acres,434,845,1303
75,45003-Aiken No. 6,387,537,943
76,45003-Montmorenci No. 22,538,863,1417
77,45003-Anderson Pond No. 69,701,1324,2044
78,45003-Levels No. 52,332,361,703
79,45003-Sandstone No. 79,330,474,815
80,45003-Shiloh,412,1030,1453
81,45003-Hammond No. 81,292,591,893
82,45003-Silver Bluff,637,690,1349
83,45003-Hammond,382,665,1056
84,45003-Windsor,265,574,853
85,45003-Windsor No. 82,241,520,772
86,45003-Bath,198,278,481
87,45003-Cedar Creek No. 64,432,955,1404
88,45003-Oak Grove,188,661,860
89,45003-New Ellenton,514,559,1093
90,45003-N. Augusta No. 27,265,897,1194
91,45003-Salley,191,259,459
92,45003-Wagener,533,919,1470
93,45003-Belvedere No. 62,461,450,930
94,45003-N. Augusta No. 28,235,560,807
95,45003-N. Augusta No. 67,276,759,1056
96,45003-South Aiken No. 76,371,640,1020
97,45003-Midland Valley No. 51,360,726,1103
98,45003-Breezy Hill,720,524,1267
99,45003-South Creek No. 89,279,589,875
100,45003-Midlands No. 88,396,700,1104
101,45003-Community No. 86,212,463,685
102,45003-Breezy No. 87,137,366,513
103,45003-Creek No. 85,371,643,1035
104,45005-Allendale No. 1,468,98,577
105,45005-Allendale No. 2,486,12,508
106,45005-Fairfax No. 1,176,110,288
107,45005-Fairfax No. 2,497,77,581
108,45005-Martin,125,50,176
109,45005-Sycamore,62,177,242
110,45005-Ulmer,44,96,144
111,45005-Woods,306,191,504
112,45007-Anderson 1/1,392,592,1005
113,45007-Anderson 1/2,275,714,1015
114,45007-Anderson 2/1,318,696,1030
115,45007-Anderson 2/2,573,1145,1748
116,45007-Anderson 3/1,228,217,452
117,45007-Anderson 3/2,291,325,625
118,45007-Anderson 4/1,431,125,567
119,45007-Anderson 4/2,813,365,1192
120,45007-Anderson 5/B,425,161,598
121,45007-Anderson 6/1,515,830,1376
122,45007-Anderson 6/2,334,204,547
123,45007-Appleton-Equinox,213,223,443
124,45007-Barker's Creek-Mcadams,34,312,348
125,45007-Belton,307,989,1313
126,45007-Belton Annex,307,1011,1340
127,45007-Bishop's Branch,357,1192,1567
128,45007-Bowling Green,140,648,794
129,45007-Broadview,257,209,472
130,45007-Broadway,140,471,616
131,45007-Brushy Creek,386,1553,1960
132,45007-Cedar Grove,172,919,1096
133,45007-Center Rock,436,1509,1966
134,45007-Centerville Station A,588,1579,2188
135,45007-Centerville Station B,584,1377,1984
136,45007-Chiquola Mill,136,255,397
137,45007-Concrete,655,1742,2426
138,45007-Cox's Creek,241,545,797
139,45007-Craytonville,72,723,797
140,45007-Denver-Sandy Springs,355,1013,1396
141,45007-Edgewood Station A,506,909,1430
142,45007-Edgewood Station B,428,1096,1543
143,45007-Five Forks,325,1021,1365
144,45007-Flat Rock,182,797,984
145,45007-Fork No. 1,210,978,1205
146,45007-Fork No. 2,236,1090,1346
147,45007-Friendship,112,652,770
148,45007-Glenview,499,1030,1549
