precinct_id,district,representative,party,incumbent_race,margin
0,3,Jeff Duncan,Republican,White,0.68
1,3,Jeff Duncan,Republican,White,0.68
2,3,Jeff Duncan,Republican,White,0.68
3,3,Jeff Duncan,Republican,White,0.68
4,3,Jeff Duncan,Republican,White,0.68
5,3,Jeff Duncan,Republican,White,0.68
6,3,Jeff Duncan,Republican,White,0.68
7,3,Jeff Duncan,Republican,White,0.68
8,3,Jeff Duncan,Republican,White,0.68
9,3,Jeff Duncan,Republican,White,0.68
10,3,Jeff Duncan,Republican,White,0.68
11,3,Jeff Duncan,Republican,White,0.68
12,3,Jeff Duncan,Republican,White,0.68
13,3,Jeff Duncan,Republican,White,0.68
14,3,Jeff Duncan,Republican,White,0.68
15,2,Joe Wilson,Republican,White,0.6
16,2,Joe Wilson,Republican,White,0.6
17,2,Joe Wilson,Republican,White,0.6
18,2,Joe Wilson,Republican,White,0.6
19,2,Joe Wilson,Republican,White,0.6
20,2,Joe Wilson,Republican,White,0.6
21,2,Joe Wilson,Republican,White,0.6
22,2,Joe Wilson,Republican,White,0.6
23,2,Joe Wilson,Republican,White,0.6
24,2,Joe Wilson,Republican,White,0.6
25,2,Joe Wilson,Republican,White,0.6
26,2,Joe Wilson,Republican,White,0.6
27,2,Joe Wilson,Republican,White,0.6
28,2,Joe Wilson,Republican,White,0.6
29,2,Joe Wilson,Republican,White,0.6
30,2,Joe Wilson,Republican,White,0.6
31,2,Joe Wilson,Republican,White,0.6
32,2,Joe Wilson,Republican,White,0.6
33,2,Joe Wilson,Republican,White,0.6
34,2,Joe Wilson,Republican,White,0.6
35,2,Joe Wilson,Republican,White,0.6
36,2,Joe Wilson,Republican,White,0.6
37,2,Joe Wilson,Republican,White,0.6
38,2,Joe Wilson,Republican,White,0.6
39,2,Joe Wilson,Republican,White,0.6
40,2,Joe Wilson,Republican,White,0.6
41,2,Joe Wilson,Republican,White,0.6
42,2,Joe Wilson,Republican,White,0.6
43,2,Joe Wilson,Republican,White,0.6
44,2,Joe Wilson,Republican,White,0.6
45,2,Joe Wilson,Republican,White,0.6
46,2,Joe Wilson,Republican,White,0.6
47,2,Joe Wilson,Republican,White,0.6
48,2,Joe Wilson,Republican,White,0.6
49,2,Joe Wilson,Republican,White,0.6
50,2,Joe Wilson,Republican,White,0.6
51,2,Joe Wilson,Republican,White,0.6
52,2,Joe Wilson,Republican,White,0.6
53,2,Joe Wilson,Republican,White,0.6
54,2,Joe Wilson,Republican,White,0.6
55,2,Joe Wilson,Republican,White,0.6
56,2,Joe Wilson,Republican,White,0.6
57,2,Joe Wilson,Republican,White,0.6
58,2,Joe Wilson,Republican,White,0.6
59,2,Joe Wilson,Republican,White,0.6
60,2,Joe Wilson,Republican,White,0.6
61,2,Joe Wilson,Republican,White,0.6
62,2,Joe Wilson,Republican,White,0.6
63,2,Joe Wilson,Republican,White,0.6
64,2,Joe Wilson,Republican,White,0.6
65,2,Joe Wilson,Republican,White,0.6
66,2,Joe Wilson,Republican,White,0.6
67,2,Joe Wilson,Republican,White,0.6
68,2,Joe Wilson,Republican,White,0.6
69,2,Joe Wilson,Republican,White,0.6
70,2,Joe Wilson,Republican,White,0.6
71,2,Joe Wilson,Republican,White,0.6
72,2,Joe Wilson,Republican,White,0.6
73,2,Joe Wilson,Republican,White,0.6
74,2,Joe Wilson,Republican,White,0.6
75,2,Joe Wilson,Republican,White,0.6
76,2,Joe Wilson,Republican,White,0.6
77,2,Joe Wilson,Republican,White,0.6
78,2,Joe Wilson,Republican,White,0.6
79,2,Joe Wilson,Republican,White,0.6
80,2,Joe Wilson,Republican,White,0.6
81,2,Joe Wilson,Republican,White,0.6
82,2,Joe Wilson,Republican,White,0.6
83,2,Joe Wilson,Republican,White,0.6
84,2,Joe Wilson,Republican,White,0.6
85,2,Joe Wilson,Republican,White,0.6
86,2,Joe Wilson,Republican,White,0.6
87,2,Joe Wilson,Republican,White,0.6
88,2,Joe Wilson,Republican,White,0.6
89,2,Joe Wilson,Republican,White,0.6
90,2,Joe Wilson,Republican,White,0.6
91,2,Joe Wilson,Republican,White,0.6
92,2,Joe Wilson,Republican,White,0.6
93,2,Joe Wilson,Republican,White,0.6
94,2,Joe Wilson,Republican,White,0.6
95,2,Joe Wilson,Republican,White,0.6
96,2,Joe Wilson,Republican,White,0.6
97,2,Joe Wilson,Republican,White,0.6
98,2,Joe Wilson,Republican,White,0.6
99,2,Joe Wilson,Republican,White,0.6
100,2,Joe Wilson,Republican,White,0.6
101,2,Joe Wilson,Republican,White,0.6
102,2,Joe Wilson,Republican,White,0.6
103,2,Joe Wilson,Republican,White,0.6
104,6,Jim Clyburn,Democrat,Black,0.65
105,6,Jim Clyburn,Democrat,Black,0.65
106,6,Jim Clyburn,Democrat,Black,0.65
107,6,Jim Clyburn,Democrat,Black,0.65
108,6,Jim Clyburn,Democrat,Black,0.65
109,6,Jim Clyburn,Democrat,Black,0.65
110,6,Jim Clyburn,Democrat,Black,0.65
111,6,Jim Clyburn,Democrat,Black,0.65
112,3,Jeff Duncan,Republican,White,0.68
113,3,Jeff Duncan,Republican,White,0.68
114,3,Jeff Duncan,Republican,White,0.68
115,3,Jeff Duncan,Republican,White,0.68
116,3,Jeff Duncan,Republican,White,0.68
117,3,Jeff Duncan,Republican,White,0.68
118,3,Jeff Duncan,Republican,White,0.68
119,3,Jeff Duncan,Republican,White,0.68
120,3,Jeff Duncan,Republican,White,0.68
121,3,Jeff Duncan,Republican,White,0.68
122,3,Jeff Duncan,Republican,White,0.68
123,3,Jeff Duncan,Republican,White,0.68
124,3,Jeff Duncan,Republican,White,0.68
125,3,Jeff Duncan,Republican,White,0.68
126,3,Jeff Duncan,Republican,White,0.68
127,3,Jeff Duncan,Republican,White,0.68
128,3,Jeff Duncan,Republican,White,0.68
129,3,Jeff Duncan,Republican,White,0.68
130,3,Jeff Duncan,Republican,White,0.68
131,3,Jeff Duncan,Republican,White,0.68
132,3,Jeff Duncan,Republican,White,0.68
133,3,Jeff Duncan,Republican,White,0.68
134,3,Jeff Duncan,Republican,White,0.68
135,3,Jeff Duncan,Republican,White,0.68
136,3,Jeff Duncan,Republican,White,0.68
137,3,Jeff Duncan,Republican,White,0.68
138,3,Jeff Duncan,Republican,White,0.68
139,3,Jeff Duncan,Republican,White,0.68
140,3,Jeff Duncan,Republican,White,0.68
141,3,Jeff Duncan,Republican,White,0.68
142,3,Jeff Duncan,Republican,White,0.68
143,3,Jeff Duncan,Republican,White,0.68
144,3,Jeff Duncan,Republican,White,0.68
145,3,Jeff Duncan,Republican,White,0.68
146,3,Jeff Duncan,Republican,White,0.68
147,3,Jeff Duncan,Republican,White,0.68
148,3,Jeff Duncan,Republican,White,0.68
149,3,Jeff Duncan,Republican,White,0.68
150,3,Jeff Duncan,Republican,White,0.68
151,3,Jeff Duncan,Republican,White,0.68
152,3,Jeff Duncan,Republican,White,0.68
153,3,Jeff Duncan,Republican,White,0.68
154,3,Jeff Duncan,Republican,White,0.68
155,3,Jeff Duncan,Republican,White,0.68
156,3,Jeff Duncan,Republican,White,0.68
157,3,Jeff Duncan,Republican,White,0.68
158,3,Jeff Duncan,Republican,White,0.68
159,3,Jeff Duncan,Republican,White,0.68
160,3,Jeff Duncan,Republican,White,0.68
161,3,Jeff Duncan,Republican,White,0.68
162,3,Jeff Duncan,Republican,White,0.68
163,3,Jeff Duncan,Republican,White,0.68
164,3,Jeff Duncan,Republican,White,0.68
165,3,Jeff Duncan,Republican,White,0.68
166,3,Jeff Duncan,Republican,White,0.68
167,3,Jeff Duncan,Republican,White,0.68
168,3,Jeff Duncan,Republican,White,0.68
169,3,Jeff Duncan,Republican,White,0.68
170,3,Jeff Duncan,Republican,White,0.68
171,3,Jeff Duncan,Republican,White,0.68
172,3,Jeff Duncan,Republican,White,0.68
173,3,Jeff Duncan,Republican,White,0.68
174,3,Jeff Duncan,Republican,White,0.68
175,3,Jeff Duncan,Republican,White,0.68
176,3,Jeff Duncan,Republican,White,0.68
177,3,Jeff Duncan,Republican,White,0.68
178,3,Jeff Duncan,Republican,White,0.68
179,3,Jeff Duncan,Republican,White,0.68
