precinct_a,precinct_b,length
1,1226,84.01448696605839
5,1053,120.03161703808867
16,66,121.93421375318333
16,65,74.85758900485109
18,20,122.51342276708979
19,63,121.85171524690058
23,67,121.93310031295259
29,1984,75.86877646232692
31,33,145.75255541572
33,82,136.70824219124555
37,77,138.12215454102991
38,83,122.23620359860004
38,96,122.7115735941779
42,1754,79.04405483240991
43,44,80.3213332615919
45,51,223.62548757926749
49,53,121.93467824041932
61,97,61.97862092026783
63,67,64.83968536402465
83,86,69.77920782455537
90,94,95.27327392023074
91,216,84.21019007965447
109,733,61.77024439041223
117,167,86.31420537529769
119,130,82.83034141512071
120,149,105.7219638229184
126,147,123.64577849835398
131,185,122.06606012910171
143,172,215.45097757995214
154,181,122.68919407813391
163,168,85.76528429298803
173,1092,95.28077736192714
177,187,133.3652492294435
193,1717,163.28885743634123
235,244,121.84809505070001
239,313,121.9938457271164
240,322,140.8650083849429
276,294,122.67702392481026
278,279,161.06440790974187
293,328,130.36420156229434
299,316,119.10445337949598
318,340,81.42733983761084
335,344,81.66039116465997
336,337,115.7112977839914
351,395,61.70994748372309
354,384,130.02549218962866
355,391,61.32387650152613
367,535,110.5205903785236
367,438,113.93900773054558
378,573,63.40944065793202
400,407,146.27400473785394
401,414,134.43985083516537
407,2196,113.0135542555067
409,429,121.86622432035881
414,874,65.91071189041249
448,1733,95.78180172817113
452,617,121.85260271689538
454,586,61.27904448833524
455,617,63.74575418721467
465,590,121.84450176311803
468,492,65.81063026884408
477,576,84.31373637772253
482,516,197.17428667934576
486,498,121.84556995392754
492,618,122.03572879181124
495,505,121.30051873091574
496,508,64.62539386769056
497,509,122.37892014187398
497,617,124.88782205750601
499,630,121.7900033031782
502,505,82.49750111417656
506,605,104.57960847119449
507,606,86.78434812250373
509,510,69.19648449365516
518,552,122.11121588473613
522,538,122.0698998611885
523,549,122.17013405754768
527,551,81.50057945651722
528,530,123.40944829172012
529,531,122.37950548310981
530,545,124.08680399613277
531,546,121.79644629972829
539,544,131.6223887598637
551,553,128.48662098016322
556,573,120.82295133582147
557,563,122.09311513906295
558,572,121.25248026246967
559,560,60.97072217483202
564,580,121.83993845764086
566,589,126.3518671027474
567,600,121.86659718557203
568,615,106.55923275948341
571,816,89.60093917140364
571,574,618.3126420972046
576,578,121.1395229003943
577,613,122.06870553263927
594,607,122.11158018791477
598,609,72.33701970883452
601,603,68.31135842582584
601,602,92.38344035210027
604,605,67.67632862601054
605,612,149.38226707362085
606,607,121.89968613093487
634,649,122.40302274400315
642,643,121.17846041155963
642,652,74.99792458024396
659,2020,65.61872642332094
662,668,151.04432355932875
673,1450,606.2724324222337
698,768,61.15983803480412
708,718,127.34858423583717
714,722,61.33992894727838
727,2125,73.51316445616244
736,878,72.07604215055791
737,746,137.85161623798066
749,1233,136.31838754689133
768,782,122.95179181518091
770,773,121.8569555315048
772,774,61.78796754934754
777,783,121.84542745158552
781,782,122.42577569469844
787,941,178.6047921365677
787,933,105.00253557271483
818,827,62.73835913190041
818,872,121.81816195304017
824,894,122.09817484328443
829,888,69.24862386979524
830,863,68.86860085359521
831,840,163.49573691965705
834,852,165.172365998835
841,892,123.21454100482418
851,858,136.53583532956594
860,886,123.45494128783375
861,887,132.32020215560007
862,882,61.37813585062334
862,878,121.95392070068087
868,894,126.40281331550537
881,1730,108.89992215362776
884,893,85.25771443125426
891,892,95.57230095582968
